scan_timestamp,scan_date,ticker,regime,regime_strength,score,grade,status,entry_price,stop_price,t1,t2,measured_move,rr_t1,rr_t2,risk_per_share,risk_pct,quantity,capital_deployed,max_loss_inr,atr_pct,relative_strength,range_pct,volume_ratio,trend_score,breakout_level,extension_pct,current_close
2026-05-23 20:51:49,2026-05-23,POLYCAB.NS,NEUTRAL,0.475,32.9,AVOID,AVOID,9339.79,8986.48,10046.41,10399.72,9689.5,2.0,3.0,353.31,3.78,14,130757.06,4946.34,2.54,15.6,4.06,0.61,3,9316.5,-0.57,9263.5
2026-05-23 20:51:49,2026-05-23,BHEL.NS,NEUTRAL,0.475,29.3,AVOID,AVOID,418.94,396.98,462.86,484.82,446.5,2.0,3.0,21.96,5.24,227,95099.38,4984.92,3.58,17.95,7.07,0.46,3,417.9,-2.24,408.55
2026-05-23 20:51:49,2026-05-23,CIPLA.NS,NEUTRAL,0.475,28.7,AVOID,AVOID,1448.11,1393.9,1556.53,1610.74,1494.6,2.0,3.0,54.21,3.74,92,133226.12,4987.32,2.58,6.97,3.56,0.72,3,1444.5,-3.14,1399.2
2026-05-23 20:51:49,2026-05-23,DIVISLAB.NS,NEUTRAL,0.475,27.7,AVOID,AVOID,6985.42,6766.96,7422.34,7640.8,7270.5,2.0,3.0,218.46,3.13,22,153679.24,4806.12,2.11,9.01,4.4,1.27,3,6968.0,-1.16,6887.0
2026-05-23 20:51:49,2026-05-23,SUNPHARMA.NS,NEUTRAL,0.475,26.7,AVOID,AVOID,1921.39,1862.02,2040.13,2099.5,2000.1,2.0,3.0,59.37,3.09,84,161396.76,4987.08,2.15,7.16,4.44,0.5,3,1916.6,-3.76,1844.6
2026-05-23 20:51:49,2026-05-23,KOTAKBANK.NS,NEUTRAL,0.475,25.8,AVOID,AVOID,394.28,380.24,422.36,436.4,410.0,2.0,3.0,14.04,3.56,356,140363.68,4998.24,2.44,2.7,4.34,0.73,3,393.3,-2.33,384.15
2026-05-23 20:51:49,2026-05-23,LT.NS,NEUTRAL,0.475,20.6,AVOID,AVOID,4109.71,3992.26,4344.61,4462.06,4244.72,2.0,3.0,117.45,2.86,42,172607.82,4932.9,1.99,-1.44,3.73,0.73,2,4099.46,-4.22,3926.6
2026-05-23 20:51:49,2026-05-23,CAMS.NS,NEUTRAL,0.475,19.5,AVOID,AVOID,847.01,808.21,924.61,963.41,882.3,2.0,3.0,38.8,4.58,128,108417.28,4966.4,3.42,0.4,4.85,0.54,2,844.9,-10.38,757.2
2026-05-23 20:51:49,2026-05-23,NESTLEIND.NS,NEUTRAL,0.475,18.9,AVOID,AVOID,1501.85,1459.01,1587.53,1630.37,1554.1,2.0,3.0,42.84,2.85,116,174214.6,4969.44,2.01,1.16,3.94,0.89,2,1498.1,-5.01,1423.1
2026-05-23 20:51:49,2026-05-23,BAJFINANCE.NS,NEUTRAL,0.475,16.9,AVOID,AVOID,994.73,960.15,1063.89,1098.47,1036.45,2.0,3.0,34.58,3.48,144,143241.12,4979.52,2.52,0.18,4.81,0.93,2,992.25,-7.63,916.55
2026-05-23 20:51:49,2026-05-23,HAL.NS,NEUTRAL,0.475,16.8,AVOID,AVOID,4848.39,4635.26,5274.65,5487.78,5091.0,2.0,3.0,213.13,4.4,23,111512.97,4901.99,3.25,2.1,5.86,0.98,2,4836.3,-9.67,4368.4
2026-05-23 20:51:49,2026-05-23,AXISBANK.NS,NEUTRAL,0.475,15.5,AVOID,AVOID,1330.62,1290.25,1411.36,1451.73,1394.0,2.0,3.0,40.37,3.03,123,163666.26,4965.51,2.09,-2.18,5.32,0.81,2,1327.3,-3.16,1285.4
2026-05-23 20:54:02,2026-05-23,POLYCAB.NS,NEUTRAL,0.475,32.9,AVOID,AVOID,9339.79,8986.48,10046.41,10399.72,9689.5,2.0,3.0,353.31,3.78,14,130757.06,4946.34,2.54,15.6,4.06,0.61,3,9316.5,-0.57,9263.5
2026-05-23 20:54:02,2026-05-23,BHEL.NS,NEUTRAL,0.475,29.3,AVOID,AVOID,418.94,396.98,462.86,484.82,446.5,2.0,3.0,21.96,5.24,227,95099.38,4984.92,3.58,17.95,7.07,0.46,3,417.9,-2.24,408.55
2026-05-23 20:54:02,2026-05-23,CIPLA.NS,NEUTRAL,0.475,28.7,AVOID,AVOID,1448.11,1393.9,1556.53,1610.74,1494.6,2.0,3.0,54.21,3.74,92,133226.12,4987.32,2.58,6.97,3.56,0.72,3,1444.5,-3.14,1399.2
2026-05-23 20:54:02,2026-05-23,DIVISLAB.NS,NEUTRAL,0.475,27.7,AVOID,AVOID,6985.42,6766.96,7422.34,7640.8,7270.5,2.0,3.0,218.46,3.13,22,153679.24,4806.12,2.11,9.01,4.4,1.27,3,6968.0,-1.16,6887.0
2026-05-23 20:54:02,2026-05-23,SUNPHARMA.NS,NEUTRAL,0.475,26.7,AVOID,AVOID,1921.39,1862.02,2040.13,2099.5,2000.1,2.0,3.0,59.37,3.09,84,161396.76,4987.08,2.15,7.16,4.44,0.5,3,1916.6,-3.76,1844.6
2026-05-23 20:54:02,2026-05-23,KOTAKBANK.NS,NEUTRAL,0.475,25.8,AVOID,AVOID,394.28,380.24,422.36,436.4,410.0,2.0,3.0,14.04,3.56,356,140363.68,4998.24,2.44,2.7,4.34,0.73,3,393.3,-2.33,384.15
2026-05-23 20:54:02,2026-05-23,LT.NS,NEUTRAL,0.475,20.6,AVOID,AVOID,4109.71,3992.26,4344.61,4462.06,4244.72,2.0,3.0,117.45,2.86,42,172607.82,4932.9,1.99,-1.44,3.73,0.73,2,4099.46,-4.22,3926.6
2026-05-23 20:54:02,2026-05-23,CAMS.NS,NEUTRAL,0.475,19.5,AVOID,AVOID,847.01,808.21,924.61,963.41,882.3,2.0,3.0,38.8,4.58,128,108417.28,4966.4,3.42,0.4,4.85,0.54,2,844.9,-10.38,757.2
2026-05-23 20:54:02,2026-05-23,NESTLEIND.NS,NEUTRAL,0.475,18.9,AVOID,AVOID,1501.85,1459.01,1587.53,1630.37,1554.1,2.0,3.0,42.84,2.85,116,174214.6,4969.44,2.01,1.16,3.94,0.89,2,1498.1,-5.01,1423.1
2026-05-23 20:54:02,2026-05-23,BAJFINANCE.NS,NEUTRAL,0.475,16.9,AVOID,AVOID,994.73,960.15,1063.89,1098.47,1036.45,2.0,3.0,34.58,3.48,144,143241.12,4979.52,2.52,0.18,4.81,0.93,2,992.25,-7.63,916.55
2026-05-23 20:54:02,2026-05-23,HAL.NS,NEUTRAL,0.475,16.8,AVOID,AVOID,4848.39,4635.26,5274.65,5487.78,5091.0,2.0,3.0,213.13,4.4,23,111512.97,4901.99,3.25,2.1,5.86,0.98,2,4836.3,-9.67,4368.4
2026-05-23 20:54:02,2026-05-23,AXISBANK.NS,NEUTRAL,0.475,15.5,AVOID,AVOID,1330.62,1290.25,1411.36,1451.73,1394.0,2.0,3.0,40.37,3.03,123,163666.26,4965.51,2.09,-2.18,5.32,0.81,2,1327.3,-3.16,1285.4
2026-05-23 23:22:01,2026-05-23,POLYCAB.NS,NEUTRAL,0.475,32.9,AVOID,AVOID,9339.79,8986.48,10046.41,10399.72,9689.5,2.0,3.0,353.31,3.78,14,130757.06,4946.34,2.54,15.6,4.06,0.61,3,9316.5,-0.57,9263.5
2026-05-23 23:22:01,2026-05-23,BHEL.NS,NEUTRAL,0.475,29.3,AVOID,AVOID,418.94,396.98,462.86,484.82,446.5,2.0,3.0,21.96,5.24,227,95099.38,4984.92,3.58,17.95,7.07,0.46,3,417.9,-2.24,408.55
2026-05-23 23:22:01,2026-05-23,CIPLA.NS,NEUTRAL,0.475,28.7,AVOID,AVOID,1448.11,1393.9,1556.53,1610.74,1494.6,2.0,3.0,54.21,3.74,92,133226.12,4987.32,2.58,6.97,3.56,0.72,3,1444.5,-3.14,1399.2
2026-05-23 23:22:01,2026-05-23,DIVISLAB.NS,NEUTRAL,0.475,27.7,AVOID,AVOID,6985.42,6766.96,7422.34,7640.8,7270.5,2.0,3.0,218.46,3.13,22,153679.24,4806.12,2.11,9.01,4.4,1.27,3,6968.0,-1.16,6887.0
2026-05-23 23:22:01,2026-05-23,SUNPHARMA.NS,NEUTRAL,0.475,26.7,AVOID,AVOID,1921.39,1862.02,2040.13,2099.5,2000.1,2.0,3.0,59.37,3.09,84,161396.76,4987.08,2.15,7.16,4.44,0.5,3,1916.6,-3.76,1844.6
2026-05-23 23:22:01,2026-05-23,KOTAKBANK.NS,NEUTRAL,0.475,25.8,AVOID,AVOID,394.28,380.24,422.36,436.4,410.0,2.0,3.0,14.04,3.56,356,140363.68,4998.24,2.44,2.7,4.34,0.73,3,393.3,-2.33,384.15
2026-05-23 23:22:01,2026-05-23,LT.NS,NEUTRAL,0.475,20.6,AVOID,AVOID,4109.71,3992.26,4344.61,4462.06,4244.72,2.0,3.0,117.45,2.86,42,172607.82,4932.9,1.99,-1.44,3.73,0.73,2,4099.46,-4.22,3926.6
2026-05-23 23:22:01,2026-05-23,CAMS.NS,NEUTRAL,0.475,19.5,AVOID,AVOID,847.01,808.21,924.61,963.41,882.3,2.0,3.0,38.8,4.58,128,108417.28,4966.4,3.42,0.4,4.85,0.54,2,844.9,-10.38,757.2
2026-05-23 23:22:01,2026-05-23,NESTLEIND.NS,NEUTRAL,0.475,18.9,AVOID,AVOID,1501.85,1459.01,1587.53,1630.37,1554.1,2.0,3.0,42.84,2.85,116,174214.6,4969.44,2.01,1.16,3.94,0.89,2,1498.1,-5.01,1423.1
2026-05-23 23:22:01,2026-05-23,BAJFINANCE.NS,NEUTRAL,0.475,16.9,AVOID,AVOID,994.73,960.15,1063.89,1098.47,1036.45,2.0,3.0,34.58,3.48,144,143241.12,4979.52,2.52,0.18,4.81,0.93,2,992.25,-7.63,916.55
2026-05-23 23:22:01,2026-05-23,HAL.NS,NEUTRAL,0.475,16.8,AVOID,AVOID,4848.39,4635.26,5274.65,5487.78,5091.0,2.0,3.0,213.13,4.4,23,111512.97,4901.99,3.25,2.1,5.86,0.98,2,4836.3,-9.67,4368.4
2026-05-23 23:22:01,2026-05-23,AXISBANK.NS,NEUTRAL,0.475,15.5,AVOID,AVOID,1330.62,1290.25,1411.36,1451.73,1394.0,2.0,3.0,40.37,3.03,123,163666.26,4965.51,2.09,-2.18,5.32,0.81,2,1327.3,-3.16,1285.4
2026-05-24 11:27:07,2026-05-24,POLYCAB.NS,NEUTRAL,0.475,32.9,AVOID,AVOID,9339.79,8986.48,10046.41,10399.72,9689.5,2.0,3.0,353.31,3.78,14,130757.06,4946.34,2.54,15.6,4.06,0.61,3,9316.5,-0.57,9263.5
2026-05-24 11:27:07,2026-05-24,BHEL.NS,NEUTRAL,0.475,29.3,AVOID,AVOID,418.94,396.98,462.86,484.82,446.5,2.0,3.0,21.96,5.24,227,95099.38,4984.92,3.58,17.95,7.07,0.46,3,417.9,-2.24,408.55
